,text,verb1,verb2,verb3,verb4,verb5,verb6,time_exp1,time_exp2,time_exp3,time_exp4,time_exp5,tense
263,They are flying to Paris next week.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,next,week,,,,future simple
264,Tom is staring a new job on Friday.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,future simple
265,My dad is retiring in 2032.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,future simple
266,My dad is retiring in June.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,future simple
267,She is always coming to class late.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,always,,,,,present progressive
268,He is always eating something.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,always,,,,,present progressive
269,He is constantly talking.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,constantly,,,,,present progressive
270,He is constantly working.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,constantly,,,,,present progressive
271,He is constantly looking for something.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,constantly,for,,,,present progressive
272,She is constantly watching TV.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,constantly,,,,,present progressive
273,She is constantly doing the dishes.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,constantly,,,,,present progressive
274,they are always complaining.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,always,,,,,present progressive
275,He is continuously changing his mind.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,continuously,,,,,present progressive
276,He is continuously teasing her.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,continuously,,,,,present progressive
277,He is continuously poking it.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,continuously,,,,,present progressive
278,He is continuously speaking out loud.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,continuously,,,,,present progressive
279,she is always having arguments with other students.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,always,,,,,present progressive
280,I will see you next Sunday.,"verb, modal auxiliary","verb, base form",,,,,next,,,,,future simple
281,We had a meeting last Thursday.,"verb, past tense",,,,,,last,,,,,past simple
282,Jennifer has her programming course on Wednesday.,"verb, 3rd person singular present",,,,,,,,,,,future simple
283,We have our class on Tuesdays and Thursdays.,"verb, non-3rd person singular present",,,,,,,,,,,present simple
284,I used to play tennis on Saturdays.,"verb, past tense","verb, base form",,,,,,,,,,present simple
285,I play tennis at weekends.,"verb, non-3rd person singular present",,,,,,weekends,,,,,present simple
286,She visits her mother on the weekend.,"verb, 3rd person singular present",,,,,,weekend,,,,,present simple
287,We're going to the beach on the weekend.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,weekend,,,,,present simple
288,We're going to the beach on the next weekend.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,next,weekend,,,,present simple
289,They visited Chicago on the weekend.,"verb, past tense",,,,,,weekend,,,,,past simple
290,They do the cleaning in the morning.,"verb, non-3rd person singular present",,,,,,morning,,,,,present simple
291,He goes to bed late at night.,"verb, 3rd person singular present",,,,,,night,,,,,present simple
292,We will do the homework in the evening.,"verb, modal auxiliary","verb, base form",,,,,evening,,,,,future simple
293,She had a drink in the evening.,"verb, past tense",,,,,,evening,,,,,past simple
294,She travels to Las Vegas every year.,"verb, 3rd person singular present",,,,,,every,year,,,,present simple
295,Jack tries to exercise every day.,"verb, 3rd person singular present","verb, base form",,,,,every,day,,,,present simple
296,They sometimes play golf.,"verb, non-3rd person singular present",,,,,,sometimes,,,,,present simple
297,She rarely smokes.,"verb, 3rd person singular present",,,,,,rarely,,,,,present simple
298,Tom is watching TV now.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,now,,,,,present progressive
299,I am working on the Smith project today.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,today,,,,,present progressive
300,Jane is doing her homework at the moment.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,moment,,,,,present progressive
301,They went on holiday last month.,"verb, past tense",,,,,,last,month,,,,past simple
302,I visited my best friend yesterday.,"verb, past tense",,,,,,yesterday,,,,,past simple
303,They had math class the day before yesterday.,"verb, past tense",,,,,,day,before,yesterday,,,past simple
304,We flew to Cleveland three weeks ago.,"verb, past tense",,,,,,ago,,,,,past simple
305,The class started twenty minutes ago. ,"verb, past tense",,,,,,ago,,,,,past simple
306,She graduated in 1976.,"verb, past tense",,,,,,,,,,,past simple
307,We are going to visit our friends in Chicago next week.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,next,week,,,,future simple
308,I will have some time off next month. ,"verb, modal auxiliary","verb, base form",,,,,time,next,month,,,future simple
309,He will be at the meeting tomorrow.,"verb, modal auxiliary","verb, base form",,,,,tomorrow,,,,,future simple
310,We will be swimming in a crystal blue sea in two weeks time.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,weeks,time,,,,future simple
311,I will have finished the report by April 15.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future simple
312,We will be swimming in a crystal blue sea in two weeks time.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,weeks,time,,,,future progressive
313,We will be walking in streets of London in two weeks time.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,weeks,time,,,,future progressive
314,We will be walking in streets of London in two weeks.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,weeks,,,,,future progressive
315,I will have finished the report by April 15,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
316,I will have finished the report by tomorrow,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,tomorrow,,,,future perfect
317,I will have finished the report by next week,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,next,week,,,future perfect
318,I will have finished the report by next month,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,next,month,,,future perfect
319,I will have finished the report by next year,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,next,year,,,future perfect
320,It was raining at noon yesterday.,"verb, past tense","verb, gerund or present participle",,,,,noon,yesterday,,,,past progressive
321,I was not visiting the museum at ten yesterday.,"verb, past tense","verb, gerund or present participle",,,,,yesterday,,,,,past progressive
322,"At three o’clock yesterday, I was working in the garden.","verb, past tense","verb, gerund or present participle",,,,,yesterday,,,,,past progressive
323,I was working in the garden all day yesterday.,"verb, past tense","verb, gerund or present participle",,,,,day,yesterday,,,,past progressive
324,Yesterday at 7 o'clock Judi was washing the dishes.,"verb, past tense","verb, gerund or present participle",,,,,Yesterday,,,,,past progressive
325,Judi was washing the dishes the entire evening.,"verb, past tense","verb, gerund or present participle",,,,,evening,,,,,past progressive
326,He was flying all day.,"verb, past tense","verb, gerund or present participle",,,,,day,,,,,past progressive
327,Yesterday morning the kids were playing.,"verb, past tense","verb, gerund or present participle",,,,,Yesterday,morning,,,,past progressive
328,Yesterday morning the kids were playing all day long.,"verb, past tense","verb, gerund or present participle",,,,,Yesterday,morning,day,,,past progressive
329,He was sitting outside for too long.,"verb, past tense","verb, gerund or present participle",,,,,for,,,,,past progressive
330,Last night at 8 o'clock we were dancing.,"verb, past tense","verb, gerund or present participle",,,,,Last,night,,,,past progressive
331,He was working at 10 o'clock this morning.,"verb, past tense","verb, gerund or present participle",,,,,this,morning,,,,past progressive
332,She was always leaving me with all the paperwork.,"verb, past tense","verb, gerund or present participle",,,,,always,,,,,past progressive
333,SHe was always sleeping on duty.,"verb, past tense","verb, gerund or present participle",,,,,always,,,,,past progressive
334,He was always sleeping on duty.,"verb, past tense","verb, gerund or present participle",,,,,always,,,,,past progressive
335,Harold had known about it for a while.,"verb, past tense","verb, past participle",,,,,for,while,,,,past perfect
336,I had not eaten at that restaurant before today.,"verb, past tense","verb, past participle",,,,,before,today,,,,past perfect
337,Samantha hadn’t had time to explain her side of the story.,"verb, past tense","verb, past tense","verb, base form",,,,time,,,,,past perfect
338,My friends hadn’t ever gone to France.,"verb, past tense","verb, past participle",,,,,ever,,,,,past perfect
339,My friends had never gone to the USA either.,"verb, past tense","verb, past participle",,,,,never,,,,,past perfect
340,Had you cleaned up the mess by the time they came home?,"verb, past tense","verb, past participle","verb, past tense",,,,by,time,,,,past perfect
341,Had Adam ever spoken to the CEO before he was fired?,"verb, past tense","verb, past participle","verb, past tense","verb, past participle",,,ever,before,,,,past perfect
342,What had they said that made him so angry?,"verb, past tense","verb, past tense","verb, past tense",,,,so,,,,,past perfect
343,Why had he agreed to work for that salary?,"verb, past tense","verb, past tense","verb, base form",,,,for,,,,,past perfect
344,How much had he drunk before you got to him?,"verb, past tense","verb, past tense",,,,,before,,,,,past perfect
345,She said she had bought the hat in Paris.,"verb, past tense","verb, past tense","verb, past participle",,,,,,,,,past perfect
346,They had already scored before the 9 o'clock break.,"verb, past tense","verb, past participle",,,,,already,before,,,,past perfect
347,He had finished building his house before 1999.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,before,,,,,past perfect
348,She had never played basketball before 2002.,"verb, past tense","verb, past participle",,,,,never,before,,,,past perfect
349,He had liked her before this happened.,"verb, past tense","verb, past participle","verb, past tense",,,,before,this,,,,past perfect
350,I had studied English for several years before I traveled to the U.S.,"verb, past tense","verb, past participle","verb, past tense",,,,for,years,before,,,past perfect
351,I hadn’t studied English before I traveled to the U.S.,"verb, past tense","verb, past participle","verb, past tense",,,,before,,,,,past perfect
352,The meeting had already started by the time I arrived.,"verb, past tense","verb, past participle","verb, past tense",,,,already,by,time,,,past perfect
353,They were married from 2008-2011.,"verb, past tense","verb, past participle",,,,,,,,,,past perfect
354,They got divorced in 2011.,"verb, past tense","verb, past participle",,,,,,,,,,past perfect
355,I saw that she‘d called me twice.,"verb, past tense","verb, past tense",,,,,twice,,,,,past perfect
356,"By the end of the day, I‘d written two hundred e-mails.","verb, 3rd person singular present","verb, past tense",,,,,By,day,,,,past perfect
357,I had had five different jobs by the time I was 30 years old.,"verb, past tense","verb, past participle","verb, past tense",,,,by,time,years,,,past perfect
358,I‘d had five different jobs by the time I was 30 years old.,"verb, past tense","verb, past tense",,,,,by,time,years,,,past perfect
359,I had had five different jobs by the time I was 30 years old.,"verb, past tense","verb, past participle","verb, past tense",,,,by,time,years,,,past perfect
360,"When I saw him, I could tell that he had had too much to drink.","verb, past tense","verb, modal auxiliary","verb, base form","verb, past tense","verb, past participle",,"verb, base form",,,,,past perfect
361,I told my boss that I hadn’t had enough time to finish the project.,"verb, past tense","verb, past tense","verb, past tense","verb, base form",,,time,,,,,past perfect
362,We had never had an argument until last week.,"verb, past tense","verb, past participle",,,,,never,until,last,week,,past perfect
363,I had finished all the work by the time you called.,"verb, past tense","verb, past participle","verb, past tense",,,,by,time,,,,past perfect
364,"When we arrived at the airport, our flight had already left.","verb, past tense","verb, past tense","verb, past participle",,,,When,already,,,,past perfect
365,"Before we sold our car, we had owned it for 12 years.","verb, past tense","verb, past tense","verb, past participle",,,,Before,for,years,,,past perfect
366,He had never met a native English speaker until he visited London.,"verb, past tense","verb, past participle","verb, past tense",,,,never,until,,,,past perfect
367,She said that she had lost her wallet.,"verb, past tense","verb, past tense","verb, past participle",,,,,,,,,past perfect
368,"Although he had gone for interviews in several big companies, nobody had hired him.","verb, past tense","verb, past participle","verb, past tense","verb, past participle",,,for,,,,,past perfect
369,Richard had gone out when his wife arrived in the office.,"verb, past tense","verb, past participle","verb, past tense",,,,when,,,,,past perfect
370,Christine had never been to an opera before last night.,"verb, past tense","verb, past participle",,,,,never,before,last,night,,past perfect
371,I got stuck in traffic because there had been an accident.,"verb, past tense","verb, past participle","verb, past tense","verb, past participle",,,,,,,,past perfect
372,I had been to London twice by the time I got a job in New York.,"verb, past tense","verb, past participle","verb, past tense",,,,twice,by,time,,,past perfect
373,The girls have played tennis at the club since 2005.,"verb, non-3rd person singular present","verb, past participle",,,,,since,,,,,present perfect
374,I have already made several calls. ,"verb, non-3rd person singular present","verb, past participle",,,,,already,,,,,present perfect
375,I’ve used those images before.,"verb, base form","verb, past tense",,,,,before,,,,,present perfect
376,He’s already had the surgery.,"verb, past tense",,,,,,already,,,,,present perfect
377,We’ve just gotten home.,"verb, base form","verb, past participle",,,,,just,,,,,present perfect
378,He has sung that song.,"verb, 3rd person singular present","verb, past participle",,,,,,,,,,present perfect
379,I haven’t eaten at that restaurant in a long time.,"verb, non-3rd person singular present","verb, past participle",,,,,time,,,,,present perfect
380,Jim hasn’t worked on Fridays since he joined the company.,"verb, 3rd person singular present","verb, past tense","verb, past tense",,,,since,,,,,present perfect
381,Jim hasn’t worked on Fridays since last June.,"verb, 3rd person singular present","verb, past tense",,,,,since,last,,,,present perfect
382,Jim hasn’t worked on Fridays since 1990.,"verb, 3rd person singular present","verb, past tense",,,,,since,,,,,present perfect
383,My friends haven’t ever gone to France.,"verb, non-3rd person singular present","verb, past participle",,,,,ever,,,,,present perfect
384,I have not forgiven you!,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
385,Have you ever gone ice skating?,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,ever,,,,,present perfect
386,Have you ever been in London before?,"verb, non-3rd person singular present","verb, past participle",,,,,ever,before,,,,present perfect
387,Have you ever been in London?,"verb, non-3rd person singular present","verb, past participle",,,,,ever,,,,,present perfect
388,Has Jerry presented his ideas to the CEO yet?,"verb, 3rd person singular present","verb, past tense",,,,,yet,,,,,present perfect
389,Have you married with that girl yet?,"verb, non-3rd person singular present","verb, past participle",,,,,yet,,,,,present perfect
390,Have you married with that girl?,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
391,I have never lied to you,"verb, non-3rd person singular present","verb, past participle",,,,,never,,,,,present perfect
392,Tanya has left the coutry,"verb, 3rd person singular present","verb, past participle",,,,,,,,,,present perfect
393,How much money have you spent so far?,"verb, non-3rd person singular present","verb, past participle",,,,,so,far,,,,present perfect
394,John has known her for a couple of years.,"verb, 3rd person singular present","verb, past participle",,,,,for,years,,,,present perfect
395,John has known her for a couple of years.,"verb, 3rd person singular present","verb, past participle",,,,,for,years,,,,present perfect
396,Keisha hasn’t spoken to you yet.,"verb, 3rd person singular present","verb, past participle",,,,,yet,,,,,present perfect
397,Those kids have never played rugby.,"verb, non-3rd person singular present","verb, past participle",,,,,never,,,,,present perfect
398,Those kids have never played rugby before.,"verb, non-3rd person singular present","verb, past participle","verb, past participle",,,,never,before,,,,present perfect
399,Dan has worked in that company for 12 years.,"verb, 3rd person singular present","verb, past participle",,,,,for,years,,,,present perfect
400,Have you heard the news?,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
401,The boys have never eaten sushi.,"verb, non-3rd person singular present","verb, past participle",,,,,never,,,,,present perfect
402,The boys have never eaten sushi before.,"verb, non-3rd person singular present","verb, past participle",,,,,never,before,,,,present perfect
403,Rani has broken her arm.,"verb, 3rd person singular present","verb, past participle",,,,,,,,,,present perfect
404,I’ve already made several calls.,"verb, base form","verb, past tense",,,,,already,,,,,present perfect
405,I have lost my dictionary.,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
406,Mary has fixed my computer.,"verb, 3rd person singular present","verb, past participle",,,,,,,,,,present perfect
407,You haven't eaten very much.,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
408,You have not eaten very much.,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
409,I haven't read his letter. ,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
410,Have you seen my calculator?,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
411,Has she had an accident?,"verb, 3rd person singular present","verb, past tense",,,,,,,,,,present perfect
412,Have you done your homework?,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
413,I've played tennis 3 times already this week,"verb, base form","verb, past participle",,,,,times,already,this,week,,present perfect
414,She's been back to Korea twice already this year,"verb, 3rd person singular present","verb, past participle",,,,,twice,already,this,year,,present perfect
415,"Sorry, I have seen that film already.","verb, non-3rd person singular present","verb, past participle",,,,,already,,,,,present perfect
416,I've lived in Germany since 1986.,"verb, base form","verb, past participle",,,,,since,,,,,present perfect
417,She's had a lot of bad luck recently.,"verb, 3rd person singular present","verb, past participle",,,,,recently,,,,,present perfect
418,I haven't seen my mother for 2 months.,"verb, non-3rd person singular present","verb, past participle",,,,,for,months,,,,present perfect
419,You haven't finished the exercise yet.,"verb, non-3rd person singular present","verb, past participle",,,,,yet,,,,,present perfect
420,She hasn't called me lately.,"verb, 3rd person singular present","verb, past participle",,,,,lately,,,,,present perfect
421,Have you ever seen a ghost?,"verb, non-3rd person singular present","verb, past participle",,,,,ever,,,,,present perfect
422,Has he lived here all his life?,"verb, 3rd person singular present","verb, past tense",,,,,,,,,,present perfect
423,Has the postman been yet?,"verb, 3rd person singular present","verb, past participle",,,,,yet,,,,,present perfect
424,I drank three cups of coffee this morning.,"verb, past tense",,,,,,this,morning,,,,past simple
425,I didn't see John today.,"verb, past tense","verb, base form",,,,,today,,,,,past simple
426,This year was a very good year for me!,"verb, past tense",,,,,,This,year,year,for,,past simple
427,"When I turn thirty, I will have been playing piano for twenty-one years.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,When,for,years,,,future perfect progressive
428,"On Thursday, I will have known you for a week.","verb, modal auxiliary","verb, base form","verb, past participle",,,,for,week,,,,future perfect progressive
429,I will have read forty-five books by Christmas.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect progressive
430,"By the next year, I will have been working as a teacher for 30 years.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,By,next,year,as,for,future perfect progressive
431,We will be making a rest stop in half an hour because you will have been driving the car for 6 hours by then.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, modal auxiliary","verb, base form",,for,by,,,,future perfect progressive
432,The company will have been negotiating the contract for three months by June.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,months,by,,,future perfect progressive
433,"Before they come, we will have been cleaning the house for 5 hours.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,Before,for,,,,future perfect progressive
434,We will have been cleaning the house for 5 hours.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,,,,,future perfect progressive
435,"By the next year, Ben and his wife will have been living together for 50 years.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,By,next,year,for,years,future perfect progressive
436,Ben and his wife will have been living together for 50 years.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,years,,,,future perfect progressive
437,The company will have been negotiating the the contract for two months by June.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,months,by,,,future perfect progressive
438,"By this time, he will have been working for 12 hours.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,By,this,time,for,,future perfect progressive
439,He will have been exercising for over 2 hours.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,,,,,future perfect progressive
440,In the summer Mike will have been trying to find a new job for five months.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, base form",,for,months,,,,future perfect progressive
441,"Jane will be very tired when she comes home, because she will have been flying over 24 hours.","verb, modal auxiliary","verb, base form","verb, 3rd person singular present","verb, modal auxiliary","verb, base form",,"verb, past participle","verb, gerund or present participle",,,,future perfect progressive
442,My father and I will have been breeding sheep for 20 years tomorrow.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,years,tomorrow,,,future perfect progressive
443,"By the year 2020, linguists will have been studying and defining the Indo-European language family for more than 200 years.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, gerund or present participle",,By,year,for,years,,future perfect progressive
444,She won't have been writing the book for four months by the end of October.,"verb, base form","verb, past participle","verb, gerund or present participle",,,,for,months,by,,,future perfect progressive
445,Will he have been writing the composition for a month by the end of February?,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,month,by,,,future perfect progressive
446,You will have been waiting for more than two hours when her plane finally arrives.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,when,,,,future perfect progressive
447,They will have been talking for over an hour by the time Thomas arrives.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,by,time,,,future perfect progressive
448,How long will you have been studying when you graduate?,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, non-3rd person singular present",,when,,,,,future perfect progressive
449,Ned will have had his driver's license for over two years.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,years,,,,future perfect progressive
450,You will only have been waiting for a few minutes when her plane arrives.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,few,when,,,future perfect progressive
451,You are only going to have been waiting for a few minutes when her plane arrives.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",for,few,when,,,future perfect progressive
452,Jason will be tired when he gets home because he will have been jogging for over an hour.,"verb, modal auxiliary","verb, base form","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",for,,,,future perfect progressive
453,She is going to have been working at that company for three years when it finally closes.,"verb, 3rd person singular present","verb, gerund or present participle","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",for,years,when,,,future perfect progressive
454,James will have been teaching at the university for more than a year by the time he leaves for Asia.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,year,by,time,for,future perfect progressive
455,You are going to have been waiting for more than two hours when her plane finally arrives.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",for,when,,,,future perfect progressive
456,"At five o’clock, I will be meeting with the management about my raise.","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
457,Michael will be running a marathon this Saturday.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,this,,,,,future progressive
458,Eric will be competing against Michael in the race.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
459,I will be watching Michael and Eric race.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
460,I will be working tonight.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,tonight,,,,,future progressive
461,She will be playing at the theather this evening.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,this,evening,,,,future progressive
462,She will be playing at the theather.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
463,I will be working.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
464,This time tomorrow I will be lying on the beach.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,tomorrow,,,future progressive
465,This time tomorrow I will be celebrating my birthday.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,tomorrow,,,future progressive
466,This time next week I will be taking my exam.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,next,week,,future progressive
467,This time tomorrow I will be waiting at the doctor’s office.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,This,time,tomorrow,,,future progressive
468,She will be giving a presentation at 4 o’clock in the afternoon.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,afternoon,,,,,future progressive
469,Tomorrow at 8 o'clock James will be cleaning the house.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,Tomorrow,,,,,future progressive
470,James will be cleaning the house all morning.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,morning,,,,,future progressive
471,I will be studying all weekend,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,weekend,,,,,future progressive
472,James will be cleaning the house when I arrive.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, non-3rd person singular present",,,when,,,,,future progressive
473,She will be singing all night.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,night,,,,,future progressive
474,We will be doing business next year.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,next,year,,,,future progressive
475,He will be driving for a while.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,for,while,,,,future progressive
476,An hour from now he will be lying in a hospital.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,now,,,,,future progressive
477,At ten o'clock tonight she will be meeting her boyfriend.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,tonight,,,,,future progressive
478,He will be shouting until he gets tired.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, 3rd person singular present",,,until,,,,,future progressive
479,"When he comes, she will be waiting.","verb, 3rd person singular present","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,When,,,,,future progressive
480,She will be walking confidently when she returns.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, 3rd person singular present",,,when,,,,,future progressive
481,"Janet will be talking, and Emily will be listening to every word.","verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, modal auxiliary","verb, base form","verb, gerund or present participle",every,,,,,future progressive
482,You had been waiting there for more than two hours when she finally arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
483,You had not been waiting there for more than two hours when she finally arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
484,They had been talking for over an hour before Tony arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,before,,,,past perfect progressive
485,She had been working at that company for three years when it went out of business.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,years,when,,,past perfect progressive
486,How long had you been waiting to get on the bus?,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, base form",,,,,,,,past perfect progressive
487,Mike wanted to sit down because he had been standing all day at work.,"verb, past tense","verb, base form","verb, past tense","verb, past participle","verb, gerund or present participle",,day,,,,,past perfect progressive
488,How long had you been studying Turkish before you moved to Ankara?,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,before,,,,,past perfect progressive
489,I had not been studying Turkish very long.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,,past perfect progressive
490,Jason was tired because he had been jogging.,"verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,past perfect progressive
491,Sam gained weight because he had been overeating.,"verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,past perfect progressive
492,Betty failed the final test because she had not been attending class.,"verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,past perfect progressive
493,Chef Jones had been preparing the restaurant's fantastic dinners for two years before he moved to Paris. ,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,years,before,,,past perfect progressive
494,Chef Jones had been preparing the restaurant's fantastic dinners for two years. ,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,years,,,,past perfect progressive
495,The motorcycle had belonged to George for years before Tina bought it.,"verb, past tense","verb, past participle","verb, past tense",,,,for,years,before,,,past perfect progressive
496,The motorcycle had belonged to George for years.,"verb, past tense","verb, past participle",,,,,for,years,,,,past perfect progressive
497,Ben had been working for three hours when Rachel came home.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
498,Ben had been working for three hours.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,,,,,past perfect progressive
499,"By the time Sam found an umbrella, it had been raining for ten minutes.","verb, past tense","verb, past tense","verb, past participle","verb, gerund or present participle",,,By,time,for,,,past perfect progressive
500,it had been raining for ten minutes.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,,,,,past perfect progressive
